Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
16750,110417,69827,21546,36375,41141,17880,29994,26734236,55909,31359,9221,22876284,36800,24409393,13547,21316518,38422,40356322,9457,27490102,16916584
17000,114762,80804,21535,34401,40783,17369,26396,27574545,52548,36698,8751,23191250,36350,24749779,14545,21009081,38625,41186039,11123,28042741,17254504
17250,124258,72784,21706,47980,46381,16878,25145,27322472,50759,34121,9518,24286063,35676,25090490,13537,21098224,39995,42316179,9578,28721591,17345504
17500,114717,75668,21749,35291,44674,16976,23606,28187131,58746,30585,9158,24162274,36458,25814642,14015,21386308,43045,43017690,9295,29296607,17598590
17750,107912,83374,21626,32263,37790,17864,24622,28052033,55502,30759,9505,24309910,34495,25734428,14370,21573094,34899,46947445,9457,29852416,17962520
18000,140596,104529,22034,35843,39084,19507,23301,28444149,54504,34131,8993,24668789,35451,25929726,15412,22051989,39290,43695825,9373,30423717,18186650
18250,121203,78998,21669,34341,44733,18978,22966,29457354,57469,54705,9503,24874305,38894,26316405,14577,22046119,37742,44706415,9461,31008652,18385533
18500,107061,118623,21870,36277,38107,16399,24528,29913194,59419,30883,8959,25255602,35393,26778466,14577,22255907,34467,44620752,9375,31619378,18572999
18750,137511,66289,21589,36513,44889,17882,25522,29738857,57194,34033,8997,25563440,35970,27579276,14455,22591381,39622,45852519,9335,32382056,18845791
19000,118040,70758,22450,33867,40424,16120,24380,30427558,58755,34085,9450,25903324,33584,27679194,14874,22942015,33255,47267372,12503,32926704,19114554
19250,120258,78713,21509,32843,40875,17218,26399,30853926,54789,38135,9341,26718186,36176,27916412,13765,23189351,36261,48618014,9413,33483257,19388725
19500,120214,73628,22089,31350,35985,16643,24446,31506327,62288,40585,9422,26628263,32832,28187964,12923,23527945,34398,50191335,9503,34163236,19633110
19750,119047,73081,21672,35396,46211,16906,23204,31276816,61915,33036,9546,26942857,36414,28454014,14288,24392602,41780,49932709,9621,34797720,19841438
20000,125423,72203,21627,31339,38920,15784,24936,31610036,54416,33133,9333,28537901,31048,28785679,14503,23849258,43468,50868014,9418,35673601,20113869
20250,118345,71962,21965,33050,37243,16074,22896,31991726,59708,36078,9504,28389683,31646,29170865,14100,24025710,30583,50516423,8961,36779681,20395381
