Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
91000,193504,165757,25176,36492,43782,29804,21432,208068842,84572,82582,9176,405849572,59055,392793394,14499,209576313,42255,227459415,9255,218820059,95550661
91250,219092,158766,24417,57961,44042,24403,17119,205989681,89164,87347,9536,401491453,56009,392025082,15127,215230635,35881,227609628,9503,216474492,95629033
91500,218514,162844,24664,33749,41556,24376,18520,207443399,88010,88515,9323,419058796,52708,388738231,17579,213883777,35783,229529916,9083,217655347,95931825
91750,220247,171129,25001,34539,46553,22399,17806,211027037,91431,95473,9170,403177380,56411,392660307,14873,210253169,39336,226563822,9374,218934132,95807150
92000,204340,167131,24369,34503,48443,21014,18431,203833389,90300,89964,8922,409909414,52120,394873673,13904,211820839,36173,227319345,9575,220941578,96142503
92250,214129,161602,24323,33823,44494,25974,16458,208539936,94129,95572,9091,437203298,51049,399923058,14425,219571270,41923,230850600,9546,223216677,97347654
92500,203644,161745,24756,33827,44850,20591,17493,202409387,93171,87505,8879,427847733,50340,399377505,17306,219144525,42289,228510015,9707,221954045,96835466
92750,195614,162965,24458,40579,40215,19462,18533,204378646,110989,91494,9038,418915890,49964,402327013,14378,218579336,35208,234264638,9914,221339781,96586976
93000,214088,162298,24668,32921,51214,24961,17852,217198151,93228,88342,20201,430413551,48006,397879040,13874,219146219,43743,232882532,9798,223527544,96951944
93250,207540,170047,24831,34250,48256,20965,16915,207072731,80795,90478,9277,426021439,50169,409934769,14795,236121074,37881,232501418,9918,225047176,98952160
93500,206883,164797,24797,33835,46250,20925,19760,203219120,96953,93797,9138,436279440,48578,412029459,19545,222624583,38240,236582078,10122,224137337,99794766
93750,192586,170257,24252,33634,48919,19930,16714,213403298,89711,99476,9289,423368320,51454,400448115,14241,217387142,45991,231252937,9919,226812237,98003212
94000,192049,168954,24786,39006,44254,21668,19041,205661027,99751,88308,8791,434222050,90191,408855270,15208,224865226,40951,234950849,10126,223912377,98108311
94250,201831,166040,24758,32587,50116,22815,18752,206456796,94340,80214,9546,444215298,90153,412913605,16083,232607700,49289,233708811,10457,225183601,98233100
94500,288760,167491,24666,33835,49574,23334,18025,216929011,95714,83330,8958,457861291,90855,425585897,15049,231895532,45672,235684061,9958,227707109,98625652
94750,266342,220935,26372,33784,54576,33278,17271,210935301,87069,85803,9054,433305116,80841,420854174,15053,232053065,44507,239908191,10497,224103513,101074599
95000,236135,172962,24873,33415,47963,22531,17339,217105023,93037,95999,8710,437630366,45724,433060955,14837,239832265,42248,234910089,10250,226139245,99503248
95250,240756,173045,24750,32710,48384,30749,17937,215863355,89709,98585,9124,443420283,48171,418312605,15839,232880260,45738,241490543,10006,230797223,100532091
95500,227008,176634,25000,38815,50628,29741,18554,214862416,89426,138173,8831,443125204,48561,425399351,16247,236574585,34993,237028666,10335,227977182,99848935
95750,217698,175803,24507,32499,51595,27890,19030,210527376,90292,96127,9240,443646337,46664,427451240,14959,234493305,39461,238675704,10086,228734030,100166281
96000,231253,184841,25046,31329,48927,31544,19272,216308968,85176,99986,8453,452071722,45665,437073475,15547,233014384,35225,242556877,11624,229666006,100223120
96250,229980,182502,24876,33097,48790,33241,18934,212051129,87182,90678,8585,451610952,44956,414840332,14725,242267339,41904,239359489,9956,232603907,100565416
96500,226249,189055,24956,33421,51409,14941,19675,220947643,92346,94500,9003,446302722,47295,427223815,15126,236520079,34289,243001278,10550,232429646,102545464
96750,228175,187933,33048,38993,52002,14834,19021,215842164,96211,87996,9124,452324258,49491,432677476,15540,242124207,40828,243007460,10047,229315270,103171908
97000,213433,203385,25376,33335,50002,15119,18741,217028311,85996,89125,9380,454643629,47309,432007290,15142,242391366,41328,239722464,9997,231413519,102348712
97250,224430,219468,24542,31961,52265,14982,17776,222384939,83754,87792,9250,454687634,43869,435714596,14619,242108484,38802,243817143,10038,235310356,103560707
97500,215970,256975,24793,31290,51198,14670,18988,219566389,85292,85257,8997,472651417,45791,441947908,14257,245479468,39111,243526070,10004,231501935,102609136
97750,231996,196322,24452,33082,48880,15033,18777,218734324,89838,83874,9293,462699233,47697,435766730,16487,248557657,43125,247934790,10032,234489653,102520730
98000,217757,181389,24867,32511,48382,14799,19561,221729364,90104,87293,8592,494536648,46885,442646345,15666,254552226,36783,244305631,10254,232695987,102847932
98250,206993,189511,24659,37589,52742,15777,16598,215582781,78461,84619,9387,460602435,51200,432449391,15906,247681787,38529,244912297,10077,233785136,102994820
98500,215353,191745,24423,33325,46742,14837,19464,220131163,97767,86827,9165,468564670,45538,441911400,15300,256203830,42098,247983407,10458,237357015,103191992
98750,210259,184933,25048,32625,47644,14787,18638,227027784,85461,84877,9548,461421209,45054,467623832,15004,248739027,38376,246234837,10012,234390499,103693130
99000,214420,204473,24458,33464,46002,15003,19242,221021644,90836,90385,8659,462277733,48118,449170079,15037,253131444,45960,249103136,9999,238160257,105359978
99250,205087,200511,24583,34260,45090,14749,17865,224277082,99100,81381,9344,464698769,44678,450544158,14062,259870682,36872,246289043,9998,235928413,104527691
99500,206917,229086,24334,40464,172565,14615,20173,221688286,88746,92009,8655,480620246,50261,457613746,15797,255849946,37513,246931337,9833,238589140,104538867
99750,203129,196414,24071,35367,73404,14873,18444,218393279,81587,89432,8750,469900755,186336,469570170,16088,274490752,34695,249893286,10292,238583263,105935075
100000,220807,191092,25213,35261,62793,14828,18690,228078931,87014,92714,8713,468257584,77826,484076189,15551,261306350,39950,247041303,9793,238956168,106352632
100250,214128,213707,24495,34630,60946,14458,17973,226281835,87919,88693,9714,492389592,67966,453372486,15992,270020912,43541,250181167,10461,244463159,105446393
100500,216099,208095,24451,36250,55408,14625,18876,228574153,94251,92095,9043,468817274,63295,467223311,15827,267542376,38749,249814601,9962,240858831,105553428
100750,223089,205511,24421,36920,54176,15422,20847,232034808,90530,97126,8587,480638792,61936,464799491,16005,273309500,36653,251981681,10089,241377052,105969738
101000,224128,207326,24569,42212,56103,14715,26360,227672519,81306,92755,9175,476050619,59340,479664133,17714,282795709,39837,253126845,10126,244927904,106055783
101250,221316,226719,24584,38420,51050,14708,16949,233608105,98292,97220,8586,488425891,55992,455272578,16770,278097312,43303,251205443,10044,244171964,108267342
101500,208871,230677,24713,37959,51332,14594,19817,230667463,84880,93390,8825,501374728,62032,468454130,16499,288206325,44668,251525501,9835,247529054,107890966
101750,223661,222331,24423,39503,65881,14659,19154,231068957,94836,92076,8852,490014862,57163,491087136,15281,286392101,36208,254479278,9837,247263129,107436703
102000,207552,215507,23838,47507,42871,14588,18501,236379587,109214,109583,9375,489082775,59128,484733987,15597,289979535,35089,253030824,9585,250096354,110940267
102250,212628,215508,24919,44206,44954,14533,17110,240054085,112488,103386,8958,478858331,51670,481410308,16716,282661111,37881,253054723,9579,252584209,110117398
102500,214210,243303,24006,37873,42721,14582,16385,261967053,91709,108289,8756,491969798,65663,473393866,17863,292126154,43665,255129493,9702,250816919,107208816
102750,219369,248382,24758,38288,41056,14803,18476,237036738,97546,100875,9375,495127465,57863,479588041,18263,286929657,45828,255431037,9709,253432924,107218405
103000,214960,265381,24582,36875,39760,14452,20278,241328045,77501,106925,8912,492791829,47171,478109127,19418,296051932,44456,255948129,10085,251847670,107650832
103250,220874,292471,24676,5284862,48036,14829,18546,239681158,91631,121585,9218,509184152,45993,493204190,19420,292832919,37612,259483176,9416,255746577,107546030
103500,214469,345165,25174,83626,45381,15213,18516,233931033,85972,126816,9045,499695952,53134,489820845,26124,302800722,34927,256771757,10375,255820757,109738719
103750,202546,324555,24953,75376,52702,14709,18812,246960115,82528,113369,9004,496851622,56601,478813677,27489,294695934,41094,258239707,10038,259590000,112196707
104000,204716,253299,25049,64568,43123,14503,20145,246895160,85290,139293,9089,507667105,50128,489418156,39205,302540663,37944,257797647,9378,262846927,109480161
104250,211354,245144,24758,64373,46033,14669,17945,245953349,91877,194032,9084,521130621,52720,500482054,36079,304085833,34292,261354622,10080,258288364,108622482
104500,93925,133921,11157,26472,25453,8386,16703,121213439,43995,67509,4246,230573873,22431,265461770,10373,138897554,14925,120838357,6035,134469494,50621144

